,ExoRNeasy1_1,ExoRNeasy2_2,ExoRNeasy3_3,ExoRNeasy1_145,Nor1,Nor2,Nor3
hsa-miR-122-5p,2160,3274,3310,1986,95981,85210,358012
hsa-miR-486-5p,27142,39637,49572,26038,44072,40849,163263
hsa-miR-92a-3p,31034,46010,56577,18258,44786,30294,71414
hsa-miR-21-5p,143470,266112,277497,82365,88485,83749,145037
hsa-miR-423-5p,32979,51863,65891,28585,30736,33077,103540
hsa-let-7b-5p,60058,78710,112326,46062,41143,49977,55042
hsa-let-7a-5p,63022,86220,91686,28739,32481,28716,51219
hsa-let-7f-5p,56628,89979,96099,27029,33689,26917,43979
hsa-miR-148a-3p,31934,53655,52043,17563,48750,40997,109014
hsa-miR-30d-5p,49184,79308,95022,32961,35270,31310,87133
hsa-let-7i-5p,35017,66467,69699,27747,27785,24625,65559
hsa-miR-151a-3p,35542,58062,67875,21646,24351,22336,62845
hsa-miR-320a,6682,10325,11397,4208,7210,6942,57398
hsa-miR-26a-5p,66232,107157,113808,38074,30824,28193,45719
hsa-miR-423-3p,13614,21364,24243,11728,6242,6193,19321
hsa-miR-10b-5p,6021,8765,10686,4298,10619,10044,27918
hsa-let-7g-5p,12166,22561,22062,8735,9592,8361,26967
hsa-miR-10a-5p,5404,9206,9526,3880,8545,6882,21285
hsa-miR-451a,5336,7344,10090,6281,15979,12202,64460
hsa-miR-143-3p,7434,16386,17174,4291,11975,9599,27644
hsa-miR-128-3p,7432,10967,12799,5081,7139,5457,16131
hsa-miR-126-3p,21640,33442,36942,12141,9305,9456,21240
hsa-let-7d-3p,3134,4074,5728,1956,4081,4589,10263
hsa-miR-146a-5p,8604,14939,15316,5438,6776,6258,20663
hsa-miR-25-3p,3757,6526,6990,2582,4762,3970,12872
hsa-miR-22-3p,5035,8549,10336,4211,8180,6835,30945
hsa-miR-101-3p,6707,12113,12615,3535,8520,9269,30846
hsa-miR-27b-3p,2179,4032,4376,1151,5465,4051,11751
hsa-miR-146b-5p,8910,13249,17124,6475,4768,5217,12264
hsa-miR-99a-5p,1455,2160,2541,997,4094,3337,14632
hsa-miR-222-3p,9072,12370,15070,4868,3879,3863,7196
hsa-miR-24-3p,5222,8153,8712,2942,6042,4902,17171
hsa-miR-375,35,50,127,35,2164,1589,10228
hsa-miR-192-5p,993,1436,1504,687,4082,3393,14431
hsa-miR-584-5p,4234,6169,6883,1775,2955,2083,5913
hsa-miR-148b-3p,6698,10893,10147,3752,5170,4847,10822
hsa-miR-409-3p,3136,4687,4746,2278,1969,1286,4751
hsa-miR-1307-3p,3191,5436,5558,2568,1661,1278,5059
hsa-miR-99b-5p,4710,7812,8902,3722,3527,2567,5979
hsa-miR-30e-5p,3966,6433,6378,2889,3012,2711,7824
hsa-miR-27a-3p,1318,2246,1916,693,2651,2210,6474
hsa-miR-191-5p,6261,9303,11477,3819,4124,2972,5167
hsa-miR-140-3p,2969,5452,6193,2009,3276,3232,10016
hsa-miR-221-3p,2990,4870,4872,1943,1894,1320,4642
hsa-miR-378a-3p,693,1315,1689,778,1924,1295,8686
